ID,Taxon_ID,objid,bitstreamid,tags,mime_type,creator,date,place,permission,source,Comment
7ace9e994a64b69c5eb9fea12e753e26,cucumisafricanus,EAEA0-7800-8E73-340C-0,,flower;thumbnail2,image/jpeg,Christfried Naumann,2009-03-15,"Inalegolo, Kgalagadi, Botswana",http://en.wikipedia.org/wiki/Public_domain,,
c9c986794deb295ff4ea0e81e6c21cd2,cucumisafricanus,EAEA0-D386-BEC7-EB5F-0,,general;fruit;thumbnail1,image/jpeg,Christfried Naumann,2005-02-11,,http://en.wikipedia.org/wiki/Public_domain,,
9fbd98a2373b9e786e41769fa73e7c8e,cucurbitaceae,EAEA0-7A29-02F7-4E34-0,,fruit;thumbnail1,image/jpeg,,,,https://creativecommons.org/licenses/by-sa/3.0/,http://commons.wikimedia.org/wiki/File:Cucurbits_(Cucurbitaceae).jpg,
4388fee7a50e304a3ef97903ae3e3e9e,culicidae,EAEA0-02EE-4469-0198-0,,general;larva;thumbnail3,image/jpeg,,,,PD,http://commons.wikimedia.org/wiki/File:Mosquito_larva.jpg,
4b3f1596ded5e29d3745cbdc1879f652,culicidae,EAEA0-52CE-CE10-E482-0,,general;thumbnail2,image/jpeg,,,,PD US HHS CDC,http://commons.wikimedia.org/wiki/File:AnophelesGambiaemosquito.jpg,
a3e4f903c2984964cd9215a6b6e9c491,culicidae,EAEA0-6757-FE75-D584-0,,front;thumbnail4,image/jpeg,,,,https://creativecommons.org/licenses/by-sa/3.0/,http://commons.wikimedia.org/wiki/File:Mosquito_2007-2.jpg,
d4c1dcaccb18508a3cc04a514393fcbd,culicidae,EAEA0-F79A-EE07-9EFE-0,,general;eating;thumbnail1,image/jpeg,,,,PD USDA,http://commons.wikimedia.org/wiki/File:Aedes_aegypti_biting_human.jpg,
3fd12f0b26dce727648598243846cca3,cursoriustemminckii,EAEA0-B162-529D-9AEE-0,,general;thumbnail1,image/jpeg,https://www.flickr.com/photos/rainbirder,,,http://creativecommons.org/licenses/by/2.0/,http://media.eol.org/data_objects/31486391,
5b5ef4f39679b5a25bbdee60bee1f63d,cursoriustemminckii,EAEA0-8F40-184C-B1C0-0,,general;drawing;thumbnail2,image/jpeg,"William Swainson, F.R.S., F.L.S.",,,http://creativecommons.org/publicdomain/mark/1.0/,http://media.eol.org/data_objects/27226693,
fb9988d73eb654d9f169745863b74e18,cursoriustemminckii,EAEA0-6212-790B-198B-0,,general;group;young;thumbnail3,image/jpeg,Chandres,,,http://creativecommons.org/licenses/by/3.0/,http://media.eol.org/data_objects/27083806,
4b3f63d6637044c5d04a925a16aaa1b7,cussoniapaniculata,EAEA0-709A-2323-8972-0,,general;thumbnail1,image/jpeg,Frank Vincentz,2006-08-25,"Botanical Garden Bochum, Germany",http://creativecommons.org/licenses/by-sa/3.0/deed.en,http://commons.wikimedia.org/wiki/File:Bgbo_cussonia_paniculata_ies.jpg,
debf3b41ee201e71dd8ebd280d9bf2ec,cussoniapaniculata,EAEA0-E084-D2A4-1E70-0,,general;thumbnail2,image/jpeg,,,,https://creativecommons.org/licenses/by-sa/3.0/,http://commons.wikimedia.org/wiki/File:Suikerbosrand-Cussonia_paniculata-001.jpg,
eb7596e8ea9553e65e455439eafb9028,cussoniapaniculata,EAEA0-C5DE-B60B-2BAA-0,,leaf;thumbnail3,image/jpeg,,,,https://creativecommons.org/licenses/by-sa/3.0/,"http://commons.wikimedia.org/wiki/File:Cussonia_paniculata,_loof,_a,_Krugersdorp.jpg",
6e43ae911fdf1d95bd5534677f5fa8ed,cynanchumviminale,EAEA0-D7F7-A35D-353D-0,,flower;thumbnail3,image/jpeg,Ton Rulkens,2010-03-22,"Chimoio town, Mozambique",http://creativecommons.org/licenses/by-sa/2.0/deed.en,http://en.wikipedia.org/wiki/File:Sarcostemma_viminale_1.jpg,
b1fc52018762d3f60b49f70fc26bd36e,cynanchumviminale,EAEA0-B4B7-C985-6FD6-0,,general;thumbnail1,image/jpeg,Research Institute Senckenberg,,"Malawi, Lilongwe (Central Plateau), Bunda",http://creativecommons.org/licenses/by-nc-sa/3.0/,http://media.eol.org/data_objects/21957330,
d0ae88e54b8c8a88e2aca45430ba0fe8,cynanchumviminale,EAEA0-E447-E79A-6A79-0,,flower,,Jeff Heath and the Dogon and Bangime Languages Project,2011,,http://creativecommons.org/licenses/by/4.0/,http://dogonlanguages.org,
e722ab77106251af07b450f98a742d32,cynanchumviminale,EAEA0-4076-00D9-B436-0,,flower ,image/tiff,Jeff Heath and the Dogon and Bangime Languages Project,2011,,http://creativecommons.org/licenses/by/4.0/,http://dogonlanguages.org,
e7af3a05621e4a3d290be1a32eab018b,cynanchumviminale,EAEA0-C577-7C93-3DD7-0,,flower;thumbnail2,image/jpeg,Bart Wursten,,,http://creativecommons.org/licenses/by-nc/3.0/,http://media.eol.org/data_objects/19245220,
ecc640bcd0b3518f288f3efc193d3a9b,cynanchumviminale,EAEA0-DDF2-FBBA-2B17-0,,general;thumbnail4,image/tiff,Jeff Heath and the Dogon and Bangime Languages Project,2011,,http://creativecommons.org/licenses/by/4.0/,http://dogonlanguages.org,
4cee84e3fa4ec9e2e978cfb01839f5d7,cynictispenicillata,EAEA0-66C0-E097-03E0-0,,general;thumbnail3,image/jpeg,Christfried Naumann,2008-09-02,"Zoo Halle (Saale), Germany",http://en.wikipedia.org/wiki/Public_domain,,
65ec58e86d355265525e416a4732d793,cynictispenicillata,EAEA0-64F6-69F6-99FA-0,,general;thumbnail2,image/jpeg,Christfried Naumann,2008-09-02,"Zoo Halle (Saale), Germany",http://en.wikipedia.org/wiki/Public_domain,,
e42c8f4a8f21e7f5287b2f2f3356d427,cynictispenicillata,EAEA0-D588-2938-5DDF-0,,general;thumbnail1,image/jpeg,Christfried Naumann,2008-09-02,"Zoo Halle (Saale), Germany",http://en.wikipedia.org/wiki/Public_domain,,
