ID,Name,Concepticon_ID,Concepticon_Gloss,GBIF_ID,GBIF_NAME,canonicalName,rank,kingdom,kingdomKey,phylum,phylumKey,class_,classKey,order,orderKey,family,familyKey,genus,genusKey,Description
cursoriusrufus,Cursorius rufus,,,2480742,"Cursorius rufus Gould, 1837",Cursorius rufus,SPECIES,Animalia,1,Chordata,44,Aves,212,Charadriiformes,7192402,Glareolidae,5245,Cursorius,2480739,
cursoriustemminckii,Cursorius temminckii,,,2480745,"Cursorius temminckii Swainson, 1822",Cursorius temminckii,SPECIES,Animalia,1,Chordata,44,Aves,212,Charadriiformes,7192402,Glareolidae,5245,Cursorius,2480739,
cussoniapaniculata,Cussonia paniculata,,,3035211,Cussonia paniculata Eckl. & Zeyh.,Cussonia paniculata,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Apiales,1351,Araliaceae,8800,Cussonia,3035207,
cymbopogoncaesius,Cymbopogon caesius,,,4151099,Cymbopogon caesius (Hook. & Arn.) Stapf,Cymbopogon caesius,SPECIES,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Poaceae,3073,Cymbopogon,2705264,
cymbopogonplurinodis,Cymbopogon plurinodis,,,4138305,Cymbopogon pospischilii (K.Schum.) C.E.Hubb.,Cymbopogon pospischilii,SPECIES,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Poaceae,3073,Cymbopogon,2705264,
cynanchumviminale,Cynanchum viminale,,,7504382,Cynanchum viminale L.,Cynanchum viminale,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Gentianales,412,Apocynaceae,6701,Cynanchum,3170354,
cynictispenicillata,Cynictis penicillata,,,2434174,Cynictis penicillata G,Cynictis penicillata,SPECIES,Animalia,1,Chordata,44,Mammalia,359,Carnivora,732,Herpestidae,9678,Cynictis,2434173,carnivore; the colour varies from yellowish-red to grey; the underside is slightly lighter;
cyperaceae,Cyperaceae,,,7708,Cyperaceae,Cyperaceae,FAMILY,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Cyperaceae,7708,,,
cyperusdenudatus,Cyperus denudatus,,,2715328,Cyperus denudatus L.f.,Cyperus denudatus,SPECIES,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Cyperaceae,7708,Cyperus,2713455,
cyperusfulgens,Cyperus fulgens,,,2714551,Cyperus fulgens C.B.Clarke,Cyperus fulgens,SPECIES,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Cyperaceae,7708,Cyperus,2713455,
