id,scientific_name,synonyms,description,english_name,kingdom,phylum,class,order,family,genus,characteristics,biotope,countries__ids,general_uses,notes,refs__ids,links
camptorrhiizastrumosa,Camptorrhiiza strumosa,,,Camptorrhiiza sp.,,,,,,,geophyte; up to 40 cm tall; with horizontal tuber; two rows of leaves arranged in zig-zag; pale mauve and green flowers,"dry river course, sandy soil",,,,vanrooyen2001[118],
canis,Canis,,,Canine,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,,,,,,,
canisadustus,Canis adustus,,,Side-striped jackal,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,"omnivore; height: 35-50cm; the coat is grey or greyish-brown with a white stripe on each flank;  the belly and insides of the legs are lighter; the ears stand erect; the dark,bushy tail has a white tip which distinguishes the Side-striped Jackal from the Black-backed Jackal;","savanna, marshland, shrubland, grassland, woodland, swamps","BW,MZ,NA,ZA,ZW",,,cillie1997[132],
canislupusfamiliaris,Canis lupus familiaris,,,"Dog, Domestic dog",Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,,,,,,,
canismesomelas,Canis mesomelas,,,Black-backed jackal,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,"omnivore; height: 30-50cm; the body and legs are red-brown; the insides of the legs, the belly and the throat are whitish; on the back and shoulders is a characteristic black saddle; the ears stand erect; the tail is bushy and black; the Black-backed Jackal is smaller than the Side-striped Jackal and lacks the white tip on the tail;","savanna, scrubforest, grassland","BW,MZ,NA,ZA,ZW",,,cillie1997[134],
cannabissativa,Cannabis sativa,,,Marijuana,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Cannabis,,,"BW,NA,ZA,ZW",,,,
capparistomentosa,Capparis tomentosa,,,African caper,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Capparaceae,Capparis,,,"BW,NA",,,,
caprahircus,Capra hircus,,,Domestic goat,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,,,,,,,
caprimulgidae,Caprimulgidae,,,Nightjar,Animalia,Chordata,Aves,Strigiformes,Caprimulgidae,Nyctidromus,,,"BW,ZA",,,,
caprimulgus,Caprimulgus,,,Nightjar,Animalia,Chordata,Aves,Strigiformes,Caprimulgidae,Caprimulgus,,,,,,,
caprimulgusrufigena,Caprimulgus rufigena,,,Rufous-cheeked nightjar,Animalia,,,,,,,,,,,,
carabidae,Carabidae,,,Ground beetle,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Philorhizus,,,"BW,NA,ZA",,,,
caracalcaracal,Caracal caracal,Felis caracal,,Caracal,Animalia,Chordata,Mammalia,Carnivora,Felidae,Caracal,"carnivore; the coat is reddish-brown to brick-red, the belly and chest are white; this cat has remarkably strong hind legs and a short tail; the ears are large and pointed with large tufts of black hair, the back of the ear is black; they have black marks around the eyes and at the base of the whiskers;","savanna, scrubforest, grassland, rocky area","BW,MZ,NA,ZA,ZW",,Desert Lynx,cillie1997[116],
caralluma,Caralluma,,,Caralluma sp.,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Caralluma,,,"BW,ZA",,,,
carebaravidua,Carebara vidua,,,Carebara sp.,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Carebara,,,"BW,ZA",,,,
carissabispinosa,Carissa bispinosa,,,Y-thorned carissa,Viridiplantae,Streptophyta,Magnoliopsida,Gentianales,Apocynaceae,Carissa,,,"BW,NA",,,,
cassinetransvaalensis,Cassine transvaalensis,Elaeodendron transvaalense; Crocoxylon transvaalense,,Transvaal saffron,Plantae,,,,,,,,,,,,
