id,taxa__id,tags,mime_type,src,creator,date,place,gps,permission,source,comments,scientific_name,GBIF_ID
04f6cd08b2a972f79dcf2a19e10c6552,pupalialappacea,preserved,image/jpeg,fl_Amaranthaceae_Pupalia_lappacea_spcA2_lf_burrs_50038_JH.JPG,Jeff Heath and the Dogon and Bangime Languages Project,2011,,,http://creativecommons.org/licenses/by/4.0/,http://dogonlanguages.org,,Pupalia lappacea,7323604
081327c223aa45e8ac2c26934fb58566,pupalialappacea,leaf;flower;thumbnail3,image/jpeg,https://lingweb.eva.mpg.de/tsammalex/images/thumb/9/99/PupaliaLappacea02.JPG/800px-PupaliaLappacea02.JPG,Christfried Naumann,2009-03-15,"Inalegolo, Kgalagadi, Botswana",,http://en.wikipedia.org/wiki/Public_domain,,,Pupalia lappacea,7323604
4ae9ce11a64dae27ad2b613ffc3d1a7b,pupalialappacea,general,image/jpeg,https://lingweb.eva.mpg.de/tsammalex/images/thumb/4/46/PupaliaLappacea01.JPG/799px-PupaliaLappacea01.JPG,Christfried Naumann,2009-03-15,"Inalegolo, Kgalagadi, Botswana",,http://en.wikipedia.org/wiki/Public_domain,,,Pupalia lappacea,7323604
5686d55f24e79ae0fd3d9d02934fee8a,pupalialappacea,general,image/tiff,fl_Amaranthaceae_Pupalia_lappacea_Hombori_entire_50038_JH.tif,Jeff Heath and the Dogon and Bangime Languages Project,2011,,,http://creativecommons.org/licenses/by/4.0/,http://dogonlanguages.org,,Pupalia lappacea,7323604
6780545ea9dbdd24033df0d33ee7c71a,pupalialappacea,general;thumbnail1,image/jpeg,,Bart Wursten,,,,http://creativecommons.org/licenses/by-nc/3.0/,http://media.eol.org/data_objects/19236191,"Species: Pupalia lappacea (L.) A. Juss.<br /> var. velutina (Moq.) Hook. f. Date: 2012-01-08 Location: Path from entrance gate to Great Enclosure, Great Zimbabwe Habitat: Woodland edge",Pupalia lappacea,7323604
6eca6c20bacf46d8498817983f16fcc9,pupalialappacea,leaf;flower;thumbnail4,image/jpeg,,Bart Wursten,,,,http://creativecommons.org/licenses/by-nc/3.0/,http://media.eol.org/data_objects/30278689,"Species: Pupalia lappacea (L.) A. Juss.<br /> var. velutina (Moq.) Hook. f. Date: 2014-06-21 Location: Bue Maria, Gorongosa National Park&nbsp; Habitat: Disturbed area In shade of trees on wooded rocky outcrop&nbsp;",Pupalia lappacea,7323604
b2c977cd619eb72a70fa0262409f7d01,pupalialappacea,flower;thumbnail2,image/jpeg,,Bart Wursten,,,,http://creativecommons.org/licenses/by-nc/3.0/,http://media.eol.org/data_objects/30278690,"Species: Pupalia lappacea (L.) A. Juss.<br /> var. velutina (Moq.) Hook. f. Date: 2014-06-21 Location: Bue Maria, Gorongosa National Park&nbsp; Habitat: Disturbed area In shade of trees on wooded rocky outcrop&nbsp;",Pupalia lappacea,7323604
16ea740db6d114eb355ab17913663c88,pycnonotusbarbatus,back;head;thumbnail2,image/jpeg,https://lingweb.eva.mpg.de/tsammalex/images/6/6c/PycnonotusBarbatus03.jpg,Lip Kee Yap,2009-10-10,"Kwa Madala, Mpumalanga, South Africa",,http://creativecommons.org/licenses/by-sa/2.0/deed.en,http://commons.wikimedia.org/wiki/File:Dark-capped_Bulbul_%28Pycnonotus_barbatus_tricolor%29_3.jpg,,Pycnonotus barbatus,2486147
99fc4c91fa2f1b4efdba204bd18841c4,pycnonotusbarbatus,general;side;head;thumbnail1,image/jpeg,https://lingweb.eva.mpg.de/tsammalex/images/d/dd/PycnonotusBarbatus02.jpg,Valentina,2010-04-03,Kenya,,http://creativecommons.org/licenses/by/2.0/deed.en,"http://commons.wikimedia.org/wiki/File:Pycnonotus_barbatus_-Lake_Baringo,_Kenya-8.jpg",,Pycnonotus barbatus,2486147
d26a1292421a1176f74eb2e0d571de1e,pycnonotusbarbatus,drawing;thumbnail3,image/jpeg,,,,,,Author died more than 70 years ago public domain images,http://commons.wikimedia.org/wiki/File:PycnonotusKeulemans.jpg,,Pycnonotus barbatus,2486147
